ACC_X,ACC_Y,ACC_Z,PPG
26508,31256,33568,12593
26884,31488,33428,12591
27204,31652,33424,12591
27736,31724,33516,12595
27364,31468,33928,12598
25608,30860,34380,12604
23464,30728,34484,12607
21260,30376,34784,12602
20028,30124,35276,12592
23472,30572,35384,12581
25376,30512,35628,12582
24476,30364,34920,12589
23296,30116,34712,12573
23492,29684,34764,12556
25468,29824,34512,12547
26656,29924,34596,12539
26612,30048,34468,12534
26024,30272,34776,12539
25712,30184,34920,12540
25896,29980,35124,12540
24488,29704,35568,12536
23092,30136,35832,12529
21668,30324,36124,12520
21488,30568,36292,12514
23516,30788,35532,12509
23780,30476,35204,12507
23220,30360,34808,12508
23040,30668,34656,12504
23828,31124,34332,12501
24916,31172,33924,12486
25444,31252,33748,12458
26008,31476,33432,12430
26660,31584,33344,12409
27076,31460,33448,12400
27032,31324,33488,12396
25664,31104,33868,12398
25104,30852,34084,12398
23400,30616,34388,12392
21920,30304,35280,12380
23196,30856,35524,12366
23876,30680,35840,12366
23300,30420,35840,12376
23136,30976,35288,12386
23808,30304,35384,12394
25016,29800,34860,12404
25800,29404,34624,12423
25780,29496,34616,12436
25664,29992,34764,12435
25824,30244,34736,12419
25828,29944,34728,12400
25332,29508,34984,12391
23780,29728,35232,12382
23032,30184,35252,12374
23128,30568,35260,12367
22556,30096,35604,12364
23344,30160,35340,12354
23076,30104,35100,12344
22548,30252,34712,12337
22896,30868,34364,12331
23984,31212,34004,12323
24704,31088,33880,12318
24824,31456,33464,12316
25812,31728,33212,12319
27020,31824,33168,12324
27388,31692,33324,12329
26908,31348,33552,12324
24648,31364,34008,12307
24680,31284,34120,12291
24052,30868,34444,12267
22648,30352,34732,11973
22836,30512,35092,11959
22660,29984,35880,11951
23088,30668,35204,11962
24108,30824,34888,11978
24192,30040,35100,11996
24656,29380,34780,12015
25572,29516,34632,12029
26084,30136,35092,12038
25828,30216,35276,12051
25768,30172,35416,12061
25772,29732,35624,12072
24628,29304,35856,12083
23220,29908,35880,12083
22732,30544,35708,12065
21964,30124,35832,12037
22632,29972,35036,12009
22372,29948,34560,11992
22376,30424,34212,11987
23028,30924,34144,11983
23936,30940,33992,11972
24404,30876,33932,11962
25036,31148,33604,11955
26052,31784,33384,11959
27052,31908,33484,11962
27848,31628,33372,11973
27880,31212,33476,11997
26424,30784,33880,12024
25180,30772,34224,12047
23328,30608,34428,12059
21320,30412,34556,12059
22732,30592,34892,12042
22816,30020,35344,12021
23032,29940,35536,12016
24188,30764,34648,12022
24312,30332,35352,12034
24396,29624,35268,12051
24872,29412,35220,12061
25344,29464,35264,12074
25532,29728,35312,12086
25872,29732,35120,12094
25920,29520,35116,12110
25288,29124,35352,12122
23876,29596,35488,12129
22372,29872,35468,12133
21256,29872,35816,12138
23092,30588,35216,12135
23228,30196,35208,12133
22636,30152,34856,12115
21888,30600,34572,12089
22536,31272,34080,12060
